# ----------------------------------------,,,,,,,,,,
# Report CSV Export,,,,,,,,,,
# Account: mybroadline.com,,,,,Entrances,,,,,
# Property: www.mybrodline.com - GA4,,,,,4641,,,,,
# ----------------------------------------,,,,,,,,,,
# ,,,,,,,,,,
# Session medium exactly matches organic,,,,,,,,,,
# Start date: 20230524,,,,,,,,,,
# End date: 20231122,,,,,,,,,,
Session medium,Landing page + query string,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count,Conversions,Total revenue
organic,/,1136,730,17.10123239,0.895705521,6.862676056,0.642605634,7796,0,0
organic,/everything-you-need-to-know-about-the-lutron-and-sonos-integration/,104,10,0,0.102040816,3.038461538,0.096153846,316,0,0
organic,/product/recessed-media-box-ii-20-amp-model-w-steel-outlet-box/,75,5,0.066666667,0.068493151,3.253333333,0.066666667,244,0,0
organic,/product/stealth-acoustics-lrx83/,75,18,1.906666667,0.264705882,3.706666667,0.24,278,0,0
organic,/brand/dynamic-mounting/,54,17,0,0.34,3.592592593,0.314814815,194,0,0
organic,/product/lutron-ra2-visor-control-receiver-white/,50,2,0,0.040816327,3.24,0.04,162,0,0
organic,/product/lutron-ra2-large-15-button-tabletop-keypad/,50,4,0,0.085106383,3.04,0.08,152,0,0
organic,/product/lutron-ra2-powpak-0-10v-434-residential-system/,46,4,0.02173913,0.1,3.043478261,0.086956522,140,0,0
organic,/product/dynabox/,34,6,4.764705882,0.181818182,4.470588235,0.176470588,152,0,0
organic,/contact/,47,8,0.021276596,0.258064516,2.936170213,0.170212766,138,0,0
organic,/product/adc-v723/,31,2,0,0.066666667,3.032258065,0.064516129,94,0,0
organic,/product/hdmi-edid-blocker-tool/,30,4,0,0.133333333,3.2,0.133333333,96,0,0
organic,/product/studio65-sb/,31,7,0.290322581,0.259259259,3.451612903,0.225806452,107,0,0
organic,/product/lutron-hvac-controller-and-temperature-sensor-package/,26,2,0,0.076923077,3.230769231,0.076923077,84,0,0
organic,/shop-by-brand/,37,25,70.27027027,1.041666667,8.351351351,0.675675676,309,0,0
organic,/product/sonarray-sr1-sr2125-outdoor-speaker-system-w-sr2-125-dsp-amplifier/,24,2,0,0.086956522,3,0.083333333,72,0,0
organic,/product/adc-svr122-500gb/,22,2,0,0.090909091,3.090909091,0.090909091,68,0,0
organic,/product/enp3050-na-structured-panel-door/,23,5,2.52173913,0.227272727,3.869565217,0.217391304,89,0,0
organic,/product/rrst-w4b-wh-radiora3-sunnata-4-button-keypad-white/,23,4,1.130434783,0.181818182,3.260869565,0.173913043,75,0,0
organic,/product/studio55-sb/,25,4,0,0.181818182,3.04,0.16,76,0,0
organic,/top-5-av-podcast-you-should-listen-to-on-the-way-to-your-next-job/,23,2,0,0.090909091,3.043478261,0.086956522,70,0,0
organic,/product/axium-ax-1250/,23,3,0,0.15,3.043478261,0.130434783,70,0,0
organic,/product/s-lcrdm-mk2/,21,4,0,0.2,3.238095238,0.19047619,68,0,0
organic,/brand/ubiquiti/,20,13,3.05,0.684210526,4.8,0.65,96,0,0
organic,/product/pro24-r-plus/,23,7,0,0.368421053,3.260869565,0.304347826,75,0,0
organic,/product/lutron-ra2-large-10-button-tabletop-keypad/,19,2,0,0.111111111,3.157894737,0.105263158,60,0,0
organic,/product/pcbc-8-vanguard-pre-construction-brackets-for-8-in-ceiling-speakers-5-pack/,21,6,2.333333333,0.333333333,4.761904762,0.285714286,100,0,0
organic,/product/adc-vc836/,17,1,0,0.058823529,3.117647059,0.058823529,53,0,0
organic,/product/archt-8/,21,6,0,0.352941176,3.428571429,0.285714286,72,0,0
organic,/product/lutron-hvac-temperature-control-package-with-fahrenheit-seetemp-white/,17,6,0,0.352941176,3.588235294,0.352941176,61,0,0
organic,/product/r-200t-500-box-2-riser-conduit/,17,4,0.235294118,0.235294118,3.294117647,0.235294118,56,0,0
organic,/product/voice-dock-in-wall-flush-mount-bracket-for-amazon-echo-dot-2nd-gen/,19,2,0,0.117647059,3,0.105263158,57,0,0
organic,/brand/roku/,17,8,1.705882353,0.5,6.176470588,0.470588235,105,0,0
organic,/product/nano-bp-p5/,18,4,0,0.25,3.111111111,0.222222222,56,0,0
organic,/product/adc-csvr126-16ch-1x2tb/,16,0,0,0,3,0,48,0,0
organic,/product/studio46-sb/,15,0,0,0,3,0,45,0,0
organic,/about/,14,10,4.571428571,0.714285714,6,0.714285714,84,0,0
organic,/product/single-gang-box-nail-up-low-voltage-outlet-new-construction-carlon/,14,2,3.428571429,0.142857143,4.142857143,0.142857143,58,0,0
organic,/product/studio39-sb/,16,0,0.125,0,2.9375,0,47,0,0
organic,/product/600-watt-networkable-multi-channel-power-amplifier-with-optional-dante-network-audio/,15,2,0,0.153846154,3.266666667,0.133333333,49,0,0
organic,/product/adc-v523/,16,3,0,0.230769231,3.125,0.1875,50,0,0
organic,/product/adc-v622-well/,13,1,0,0.076923077,3.076923077,0.076923077,40,0,0
organic,/product/bav2500-1000w-2-channel-amplifier/,14,1,0,0.076923077,3,0.071428571,42,0,0
organic,/product/mezz-8-surr/,14,4,0,0.307692308,3.428571429,0.285714286,48,0,0
organic,/product/rcc320-mk2-pc/,15,1,0,0.076923077,3,0.066666667,45,0,0
organic,/brilliant-and-google-nest-can-now-be-integrated/,12,0,0,0,3,0,36,0,0
organic,/product/9625-dirt-devil-db7000-disposable-power-unit-up-to-7000-sq-ft/,13,3,0,0.25,3.153846154,0.230769231,41,0,0
organic,/product/cs-100/,13,3,0.076923077,0.25,3.384615385,0.230769231,44,0,0
organic,/product/pro-cinema-projector-with-4k-dci-p3-hld-led-video-enhancer-ht9050/,12,0,0,0,3,0,36,0,0
organic,/product/rcc1000-sa/,12,2,2.833333333,0.166666667,3.833333333,0.166666667,46,0,0
organic,/product-category/soundbars-speakers-systems/dsw-pro-subwoofers-grilles/,11,8,0.090909091,0.727272727,5.090909091,0.727272727,56,0,0
organic,/product/ethereal-hdmi-5v-injector/,13,3,0,0.272727273,3.153846154,0.230769231,41,0,0
organic,/product/heos-drivea/,13,1,0,0.090909091,2.923076923,0.076923077,38,0,0
organic,/product/lutron-honeywell-hvac-touchpro-wireless-434-mhz/,11,1,0,0.090909091,3.090909091,0.090909091,34,0,0
organic,/become-a-lutron-pro/,11,1,0,0.1,3,0.090909091,33,0,0
organic,/brand/tdg-audio/,10,3,0,0.3,3.4,0.3,34,0,0
organic,/product/9520-dirt-devil-db5000-db7000-db8000-db9000-maxum-5-7-9-replacement-bags/,10,4,0,0.4,3.7,0.4,37,0,0
organic,/product/cat6-patch-cable-12-inches-blue/,11,2,0,0.2,3.090909091,0.181818182,34,0,0
organic,/product/music-garden-system/,10,0,0,0,3,0,30,0,0
organic,/product/rrst-pro-n-wh-radiora3-sunnata-rf-dimmer-white/,11,0,0,0,2.909090909,0,32,0,0
organic,/product/rsha-sonos-amp2/,11,2,7.545454545,0.2,3.181818182,0.181818182,35,0,0
organic,/product/udp-lx500-bluray-player/,10,4,0,0.4,3.4,0.4,34,0,0
organic,/product/wilson-ag-pro-4g-70db-amplifier-kit-refurbished-461104r/,10,0,0,0,3,0,30,0,0
organic,/product/wilson-db-pro-4g-cell-phone-booster-kit-refurbished-460103r/,10,1,0,0.1,3.1,0.1,31,0,0
organic,/brand/stealthacoustics/,9,1,0,0.111111111,3.111111111,0.111111111,28,0,0
organic,/product/5590w-universal-inlet-valve-white/,9,3,2.333333333,0.333333333,4.111111111,0.333333333,37,0,0
organic,/product/80275-chameleon-rough-in-kit-greige/,11,3,10.72727273,0.333333333,4,0.272727273,44,0,0
organic,/product/80315-40-hs-chameleon-retractable-kit-40-ft-with-hose-sock/,10,1,0,0.111111111,3.1,0.1,31,0,0
organic,/product/adc-11806rsd-18-6-stranded-shielded-cmr-1000-ft-reel/,11,2,0,0.222222222,3,0.181818182,33,0,0
organic,/product/stealth-acoustics-b30g/,10,2,1.7,0.222222222,3.9,0.2,39,0,0
organic,/product/truaudio-t50/,9,0,0,0,3,0,27,0,0
organic,/product/vssl-a-6/,9,2,0.777777778,0.222222222,3.777777778,0.222222222,34,0,0
organic,/shop-by-category/,13,11,26.53846154,1.222222222,7.307692308,0.846153846,95,0,0
organic,/brand/martin-logan/,9,5,12.88888889,0.625,5.444444444,0.555555556,49,0,0
organic,/brand/mse-audio/,8,3,0,0.375,3.5,0.375,28,0,0
organic,/now-at-broadline-fedex-freight/,8,2,0,0.25,3.25,0.25,26,0,0
organic,/product/evolution-hdmia%C2%A8-over-single-cat5e-cat6-cable-extender-with-arc/,9,0,0,0,2.888888889,0,26,0,0
organic,/product/l-smnt-wh-radiora3-wireless-processor-shelf-mount/,9,0,0,0,2.888888889,0,26,0,0
organic,/product/m-lcrdm-mk2/,10,2,0,0.25,2.9,0.2,29,0,0
organic,/product/nv-p100-na/,9,0,0,0,2.888888889,0,26,0,0
organic,/product/nx-410-us-vz/,8,1,0,0.125,3.875,0.125,31,0,0
organic,/product/rcc-nano1-b/,9,2,0,0.25,3.111111111,0.222222222,28,0,0
organic,/product/subd10eq/,9,2,0,0.25,3.222222222,0.222222222,29,0,0
organic,/product/ubiquiti-airrouter/,8,1,2.875,0.125,4,0.125,32,0,0
organic,/brand/monster-mounts/,8,0,0,0,2.875,0,23,0,0
organic,/does-your-job-need-the-6050-or-4050/,7,0,0,0,3,0,21,0,0
organic,/product/16-2-speaker-wire-65-strand-500-box/,7,2,17,0.285714286,8.285714286,0.285714286,58,0,0
organic,/product/a-6-x-vssl/,7,0,0,0,3,0,21,0,0
organic,/product/active-hdmi-cable-voltage-stabilizer/,7,1,0,0.142857143,3.285714286,0.142857143,23,0,0
organic,/product/adc-svr122-2t/,7,1,5.714285714,0.142857143,4.285714286,0.142857143,30,0,0
organic,/product/cd-421-us-vz/,7,1,0,0.142857143,3.142857143,0.142857143,22,0,0
organic,/product/os-62t-b-tdg-audio-6-%C2%BD-outdoor-8ohm-or-70v-100v-aluminum-speaker-in-black/,8,0,0,0,2.875,0,23,0,0
organic,/product/rmr6545-rack-mount-kit/,8,0,0,0,2.875,0,23,0,0
organic,/product/rrst-rd-wh-radiora3-sunnata-rf-companion-dimmer-white/,7,0,0,0,3,0,21,0,0
organic,/product/snaptoggle-304-stainless-steel-toggle-bolts-50435/,9,2,0,0.285714286,3,0.222222222,27,0,0
organic,/product/umb-75-100/,8,4,0,0.571428571,3.625,0.5,29,0,0
organic,/product/wsscam1-sanus-mount-for-sonos-amp/,7,0,0,0,3,0,21,0,0
organic,/brand/alarm-com/,7,1,0,0.166666667,3.285714286,0.142857143,23,0,0
organic,/brand/crimson/,6,3,0,0.5,4.5,0.5,27,0,0
organic,/brand/launch-port/,6,3,4.666666667,0.5,4.5,0.5,27,0,0
organic,/brand/primalcable/,8,7,3.875,1.166666667,4.75,0.875,38,0,0
organic,/brand/wilson-electronics/,8,2,0,0.333333333,3.125,0.25,25,0,0
organic,/brand/wolf-cinema/,6,2,0,0.333333333,3.333333333,0.333333333,20,0,0
organic,/product/10045-dirt-devil-db8000-power-unit-up-to-12k-sq-ft/,8,2,0,0.333333333,3,0.25,24,0,0
organic,/product/3u-decora-rack-plate-w-8-openings/,6,0,0,0,3,0,18,0,0
organic,/product/8865-cv2600-power-unit-single-motor-120v-8000-sq-ft/,6,0,0.5,0,3.166666667,0,19,0,0
organic,/product/9284-rhs-rhs-select-plus-kit-w-std-hndl/,7,0,0,0,2.857142857,0,20,0,0
organic,/product/adc-s2000-t-rb/,6,0,0,0,3,0,18,0,0
organic,/product/current-audio-amp870/,6,0,0,0,3,0,18,0,0
organic,/product/d65/,9,2,0,0.333333333,3.111111111,0.222222222,28,0,0
organic,/product/furrion-weather-resistant-tv-cover-65/,6,0,0,0,3,0,18,0,0
organic,/product/iec-wall-plate-white-w-pigtail/,6,0,0,0,3,0,18,0,0
organic,/product/l-poei-bl-radiora3-poe-injector-kit/,7,0,0,0,2.857142857,0,20,0,0
organic,/product/nfc-63a-tdg-audio-6-%C2%BD-angled-no-flange-ceiling-with-kevlar-trueform-woofer/,6,1,0,0.166666667,4.333333333,0.166666667,26,0,0
organic,/product/oc65b-70v/,7,2,0,0.333333333,3.142857143,0.285714286,22,0,0
organic,/product/oc8w-each/,6,0,0,0,3,0,18,0,0
organic,/product/pcbc6-tdg-audio-pre-construction-bracket-for-6-5-in-ceiling-speaker-5-pack/,9,2,0,0.333333333,2.888888889,0.222222222,26,0,0
organic,/product/pcbw-6-vanguard-pre-construction-brackets-for-6-%C2%BD-in-wall-speakers-5-pack/,6,0,0,0,3,0,18,0,0
organic,/product/ring-8vr1p6-0en0-ultra-slim-wi-fi-video-doorbell/,6,0,0,0,3,0,18,0,0
organic,/product/safetech-quickbox-home-z-wave-edition/,6,1,0,0.166666667,3.166666667,0.166666667,19,0,0
organic,/product/skybar-satellite-tdg-audio-ceiling-wall-satellite-side-channel-for-skybar/,6,1,0,0.166666667,3.166666667,0.166666667,19,0,0
organic,/product/ultrascape-pro/,8,1,0,0.166666667,3.125,0.125,25,0,0
organic,/product/wilson-dt4g-cell-phone-booster-kit-refurbished-460101r/,6,0,0,0,3,0,18,0,0
organic,/brand/winnie-industries/,5,1,5.2,0.2,3.4,0.2,17,0,0
organic,/product/2-in-riser-gard-corrugated-non-metallic-flexible-raceway-with-tape-coil-length-100-ft/,5,0,0,0,3,0,15,0,0
organic,/product/80315-50-hs-chameleon-retractable-kit-50-ft-with-hose-sock/,6,2,0,0.4,3.166666667,0.333333333,19,0,0
organic,/product/9205-univ-hs-hp-dirt-devil-edge-electric-kit-for-universal-valves-30-hose-wit/,5,0,0,0,3,0,15,0,0
organic,/product/9307-dual-hs-hp-dirt-devil-edge-performance-kit-30-hose-hose-sock-with-pigtail/,6,0,0,0,3.166666667,0,19,0,0
organic,/product/a220/,7,0,0.428571429,0,2.714285714,0,19,0,0
organic,/product/adc-sg130/,5,0,0,0,3,0,15,0,0
organic,/product/alarm-com-remote-temperature-sensor/,5,0,0,0,3,0,15,0,0
organic,/product/cat6-wh-scp-cat6-riser-1000-feet-ul-etl/,5,0,0,0,3,0,15,0,0
organic,/product/epic-mesh-node-mn-10/,6,0,0,0,2.833333333,0,17,0,0
organic,/product/epson-6050ub/,6,2,0,0.4,3.166666667,0.333333333,19,0,0
organic,/product/ethereal-as-p-601-power-solution-1000-surge-protector/,5,0,0,0,3,0,15,0,0
organic,/product/evolution-hdmia%C2%A8-1in2-4k2k-splitter/,5,1,0,0.2,3.2,0.2,16,0,0
organic,/product/external-video-processor-hd-e-variscope/,6,2,0,0.4,3.333333333,0.333333333,20,0,0
organic,/product/hrsiw8cab/,7,0,0,0,2.714285714,0,19,0,0
organic,/product/nfc-62-tdg-audio-in-ceiling-speakers-two-series-6-%C2%BD-in-ceiling-speaker/,5,0,0.2,0,3,0,15,0,0
organic,/product/nv-p30-wh-touch-screen/,5,1,0,0.2,3.4,0.2,17,0,0
organic,/product/nv-p3100-na-streaming-amp/,5,0,0,0,3,0,15,0,0
organic,/product/nvp6003zna/,5,0,0,0,3,0,15,0,0
organic,/product/ols-subv2-vanguard-tdg-10-outdoor-landscape-subwoofer-200w-gen2-black/,5,2,0,0.4,3.8,0.4,19,0,0
organic,/product/pathlight-kit-2-pathlights-1-bridge/,6,0,0,0,2.833333333,0,17,0,0
organic,/product/pro-cinema-ls12000-4k-pro-uhd-laser-projector/,5,1,0,0.2,3.2,0.2,16,0,0
organic,/product/rrst-w3rl-wh-radiora3-sunnata-3-button-keypad-with-raise-lower-white/,5,1,0,0.2,3.2,0.2,16,0,0
organic,/product/se120h2-isf/,5,0,0,0,3,0,15,0,0
organic,/product/si-zet120pw-na-bkna-su-na-2/,5,2,0,0.4,3.6,0.4,18,0,0
organic,/product/subamp-500-tdg-audio-500w-mono-high-power-dual-subwoofer-amplifier/,5,1,0,0.2,3.2,0.2,16,0,0
organic,/product/tx-nr696-new-model/,6,0,0,0,2.833333333,0,17,0,0
organic,/product/tytan-fire-block-foam-sealant-24oz-gun-foam/,6,0,0,0,2.833333333,0,17,0,0
organic,/product/vail-cast-universal-streaming-amplifier-google-chromecast-built-in-works-wit/,5,0,0,0,3,0,15,0,0
organic,/brand/advanced-digital-cable/,4,1,0,0.25,3.25,0.25,13,0,0
organic,/brand/celerity-technologies/,5,0,0,0,2.8,0,14,0,0
organic,/brand/sonos/,5,2,0,0.5,4.2,0.4,21,0,0
organic,/contact,4,0,0,0,3,0,12,0,0
organic,/intellinet-products-that-are-eero-approved/,6,0,0,0,2.666666667,0,16,0,0
organic,/lutron-and-ring-are-now-integrated/,4,0,0,0,3,0,12,0,0
organic,/my-account/,6,4,2.166666667,1,6.833333333,0.666666667,41,0,0
organic,/product/45-8017-1-media-box/,4,0,0,0,3,0,12,0,0
organic,/product/7402-i-hs-nl-turboteam-deluxe-30-hose-with-hose-sock/,8,2,0,0.5,3.25,0.25,26,0,0
organic,/product/7711-50-g-dirt-devil-garage-car-care-kit-50-hose/,4,0,0,0,3,0,12,0,0
organic,/product/7711-g-dirt-devil-garage-and-car-care-kit-with-30-hose/,4,1,0,0.25,3.25,0.25,13,0,0
organic,/product/80300-40-vroom-retract-vac-w-40-ft-hose/,5,1,0,0.25,3.2,0.2,16,0,0
organic,/product/8737-rhs-rhs-select-attach-kit-platinum/,4,0,0,0,3,0,12,0,0
organic,/product/alarm-com-programmable-smart-thermostat/,4,0,0,0,3,0,12,0,0
organic,/product/arcg1us1-sonos-arc-white/,4,0,0,0,3,0,12,0,0
organic,/product/archt-6/,4,0,0,0,2.75,0,11,0,0
organic,/product/cadence/,4,1,0.5,0.25,3.75,0.25,15,0,0
organic,/product/connect-bdg2-2/,4,1,0,0.25,3.25,0.25,13,0,0
organic,/product/control-mount-ipad-air-ipad-air-2-fixed-in-wall-mount-and-charging-system-for-ipad-air-or-for-ipad-air-2-white/,4,0,0,0,3,0,12,0,0
organic,/product/cs650fl-pair/,4,0,0,0,3,0,12,0,0
organic,/product/current-audio-amp2150/,4,0,0,0,3,0,12,0,0
organic,/product/ef120wh2-isf/,4,2,0,0.5,4.75,0.5,19,0,0
organic,/product/evolution-hdmia%C2%A8-and-vga-extender-over-single-cat5e-cat6-cable/,4,0,0,0,3,0,12,0,0
organic,/product/flsub10/,4,2,0,0.5,3.5,0.5,14,0,0
organic,/product/hardwired-transformer/,4,1,0,0.25,3.25,0.25,13,0,0
organic,/product/hdmi-wireless-extender-w-ir-4k-60-200m/,4,1,0,0.25,3.25,0.25,13,0,0
organic,/product/hid-prox-key-fob/,4,0,0,0,3,0,12,0,0
organic,/product/inclgww1-sonos-architectural-in-ceiling-speaker-pair/,4,0,0,0,2.5,0,10,0,0
organic,/product/iws-210-tdg-audio-signature-series-in-wall-dual-10-subwoofer/,5,1,0,0.25,4.4,0.2,22,0,0
organic,/product/large-venue-laser-projector-with-8000lm-wuxga-lu9715/,4,0,0,0,3,0,12,0,0
organic,/product/lutron-ra2-6brl-wall-keypad/,5,1,0,0.25,3,0.2,15,0,0
organic,/product/lutron-radiora2-aux-repeater-white/,4,0,0,0,3,0,12,0,0
organic,/product/mhy-lhdmer15-4k-hdr-uhd-hdmi-cable-18gbps-certified/,4,1,7,0.25,4.5,0.25,18,0,0
organic,/product/nfc-62m-tdg-audio-6-%C2%BD-no-flange-ceiling-2-way-marine-ip-66-rated/,4,1,0,0.25,3.25,0.25,13,0,0
organic,/product/nfc-63-tdg-audio-6-%C2%BD-no-flange-ceiling-with-kevlar-trueform-woofer/,4,1,0,0.25,3.25,0.25,13,0,0
organic,/product/nv-2lsk-bk-landscape-kit/,4,0,0,0,3,0,12,0,0
organic,/product/outdoor-living-12-inch-ground-stake/,4,0,0,0,3,0,12,0,0
organic,/product/panther4%E2%80%904m/,4,1,0,0.25,3.25,0.25,13,0,0
organic,/product/periscape-4/,4,1,0,0.25,4.5,0.25,18,0,0
organic,/product/rg-6-compression-connectors/,4,0,0,0,3,0,12,0,0
organic,/product/ring-flood-freeze-sensor-2-pack/,4,0,0,0,3,0,12,0,0
organic,/product/rr-proc3-kit-radiora3-processor-includes-shelf-mounted-accessory-poe-injector/,4,1,0,0.25,3.25,0.25,13,0,0
organic,/product/sda-200-vanguard-200-watt-mono-subwoofer-amplifier/,4,0,0,0,3,0,12,0,0
organic,/product/terminal-1010x/,4,0,0,0,3,0,12,0,0
organic,/product/ufo-hd-40p-fiber-hdmi/,5,0,0,0,2.8,0,14,0,0
organic,/product/ufo-hd-60p-fiber-hdmi/,4,0,0,0,3,0,12,0,0
organic,/product/vbs-hdmi-508poe/,5,1,0,0.25,3,0.2,15,0,0
organic,/product/vs-hfl-blk-hiflo-lite-vent/,4,1,0,0.25,3.25,0.25,13,0,0
organic,/product/vs-hfs-blk-hiflo-vent-system/,4,1,0,0.25,3.5,0.25,14,0,0
